System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
HD_209458,6117,50,50,n,n,3.9,18,21,-999,-999,-999,Queloz et al. (2000),Queloz_et_al._(2000),2000A+A...359L..13Q,https://ui.adsabs.harvard.edu/abs/2000A%26A...359L..13Q,RM,Simulated RM spectra,b,TIC 420814525,Gaia DR3 1779546757669063552,,,,0,
HD_209458,6117,50,50,n,n,-4.4,1.4,1.4,-999,-999,-999,Winn et al. (2005),Winn_et_al._(2005),2005ApJ...631.1215W,https://ui.adsabs.harvard.edu/abs/2005ApJ...631.1215W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 420814525,Gaia DR3 1779546757669063552,,,,0,
HD_209458,6117,50,50,n,n,-5,7,7,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 420814525,Gaia DR3 1779546757669063552,,,,0,
HD_209458,6117,50,50,n,n,0.6,0.4,0.4,-999,-999,-999,Santos et al. (2020),Santos_et_al._(2020),2020A+A...644A..51S,https://ui.adsabs.harvard.edu/abs/2020A%26A...644A..51S,RM,ARoME,b,TIC 420814525,Gaia DR3 1779546757669063552,,,,0,
HD_209458,6117,50,50,y,y,1.58,0.08,0.08,-999,-999,-999,Casasayas-Barris et al. (2021),Casasayas-Barris_et_al._(2021),2021A+A...647A..26C,https://ui.adsabs.harvard.edu/abs/2021A%26A...647A..26C,RM,RRM,b,TIC 420814525,Gaia DR3 1779546757669063552,,,,0,
HD_332231,6089,97,96,n,n,-42,11,11,-999,-999,-999,Sedaghati et al. (2022),Sedaghati_et_al._(2022),2022A+A...659A..44S,https://ui.adsabs.harvard.edu/abs/2022A%26A...659A..44S,RM,Ohta+2005,b,TIC 199376584,Gaia DR3 2056007995732413312,,,,0,
HD_332231,6089,97,96,y,y,-2,6,6,-999,-999,-999,Knudstrup &amp; Albrecht (2022),Knudstrup_&amp;_Albrecht_(2022),2022A+A...660A..99K,https://ui.adsabs.harvard.edu/abs/2022A%26A...660A..99K,RM,Hirano+2011,b,TIC 199376584,Gaia DR3 2056007995732413312,,,,0,
HIP_67522b,5675,75,75,y,y,-5.8,2.8,5.7,20.2,10.3,8.7,Heitzmann et al. (2021),Heitzmann_et_al._(2021),2021ApJ...922L...1H,https://ui.adsabs.harvard.edu/abs/2021ApJ...922L...1H,DT,,b,TIC 166527623,Gaia DR3 6113920619134019456,,,,0,
K2-025b,3207,58,58,n,n,1.7,5.8,3.7,-999,-999,-999,Gaidos et al. (2020),Gaidos_et_al._(2020),2020MNRAS.498L.119G,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498L.119G,RM,,b,TIC 434226736,Gaia DR3 3311804515502788352,,,,0,
K2-025b,3207,58,58,y,y,3,16,16,17,11,8,Stefansson et al. (2020),Stefansson_et_al._(2020),2020AJ....160..192S,https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S,RM,Hirano+2010,b,TIC 434226736,Gaia DR3 3311804515502788352,,,,0,
K2-029,5358,38,38,y,y,1.5,8.7,8.7,-999,-999,-999,Santerne et al. (2016),Santerne_et_al._(2016),2016ApJ...824...55S,https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S,RM,ARoME,b,TIC 56399553,Gaia DR3 150054788545735424,775,69,Rice2024,0,SFNG
K2-033,3540,70,70,y,y,-10,22,24,-999,-999,-999,Hirano et al. (2024),Hirano_et_al._(2024),2024MNRAS.530.3117H,https://ui.adsabs.harvard.edu/abs/2024MNRAS.530.3117H,DT,#N/A,b,TIC 49040478,Gaia DR3 6245758900889486720,,,,0,
K2-033,3540,70,70,n,n,-6,61,58,-999,-999,-999,Hirano et al. (2024),Hirano_et_al._(2024),2024MNRAS.530.3117H,https://ui.adsabs.harvard.edu/abs/2024MNRAS.530.3117H,RM,Hirano2011,b,TIC 49040478,Gaia DR3 6245758900889486720,,,,0,
